dataset,split_id,sample_id,relative_path,label,subset,split_seed
organamnist,split_04,organamnist_16800,train/organamnist/train16800_0.png,0,train,1004
organamnist,split_04,organamnist_49842,test/organamnist/test8790_6.png,6,train,1004
organamnist,split_04,organamnist_36615,val/organamnist/val2054_6.png,6,train,1004
organamnist,split_04,organamnist_17441,train/organamnist/train17441_10.png,10,train,1004
organamnist,split_04,organamnist_22859,train/organamnist/train22859_5.png,5,train,1004
organamnist,split_04,organamnist_12866,train/organamnist/train12866_10.png,10,train,1004
organamnist,split_04,organamnist_29101,train/organamnist/train29101_7.png,7,train,1004
organamnist,split_04,organamnist_27975,train/organamnist/train27975_8.png,8,train,1004
organamnist,split_04,organamnist_44864,test/organamnist/test3812_4.png,4,train,1004
organamnist,split_04,organamnist_58439,test/organamnist/test17387_9.png,9,train,1004
organamnist,split_04,organamnist_37550,val/organamnist/val2989_7.png,7,train,1004
organamnist,split_04,organamnist_14764,train/organamnist/train14764_3.png,3,train,1004
organamnist,split_04,organamnist_53155,test/organamnist/test12103_5.png,5,train,1004
organamnist,split_04,organamnist_47631,test/organamnist/test6579_4.png,4,train,1004
organamnist,split_04,organamnist_31454,train/organamnist/train31454_9.png,9,train,1004
organamnist,split_04,organamnist_54670,test/organamnist/test13618_8.png,8,train,1004
organamnist,split_04,organamnist_18650,train/organamnist/train18650_7.png,7,train,1004
organamnist,split_04,organamnist_55484,test/organamnist/test14432_5.png,5,train,1004
organamnist,split_04,organamnist_36526,val/organamnist/val1965_9.png,9,train,1004
organamnist,split_04,organamnist_36681,val/organamnist/val2120_3.png,3,train,1004
organamnist,split_04,organamnist_44130,test/organamnist/test3078_5.png,5,train,1004
organamnist,split_04,organamnist_54360,test/organamnist/test13308_7.png,7,train,1004
organamnist,split_04,organamnist_16113,train/organamnist/train16113_8.png,8,train,1004
organamnist,split_04,organamnist_30414,train/organamnist/train30414_2.png,2,train,1004
organamnist,split_04,organamnist_49347,test/organamnist/test8295_5.png,5,train,1004
organamnist,split_04,organamnist_47694,test/organamnist/test6642_6.png,6,train,1004
organamnist,split_04,organamnist_42904,test/organamnist/test1852_0.png,0,train,1004
organamnist,split_04,organamnist_30369,train/organamnist/train30369_7.png,7,train,1004
organamnist,split_04,organamnist_39811,val/organamnist/val5250_10.png,10,train,1004
organamnist,split_04,organamnist_19062,train/organamnist/train19062_10.png,10,train,1004
organamnist,split_04,organamnist_6555,train/organamnist/train6555_0.png,0,train,1004
organamnist,split_04,organamnist_13804,train/organamnist/train13804_4.png,4,train,1004
organamnist,split_04,organamnist_326,train/organamnist/train326_6.png,6,train,1004
organamnist,split_04,organamnist_35332,val/organamnist/val771_8.png,8,train,1004
organamnist,split_04,organamnist_4966,train/organamnist/train4966_1.png,1,train,1004
organamnist,split_04,organamnist_20069,train/organamnist/train20069_6.png,6,train,1004
organamnist,split_04,organamnist_22711,train/organamnist/train22711_9.png,9,train,1004
organamnist,split_04,organamnist_14080,train/organamnist/train14080_5.png,5,train,1004
organamnist,split_04,organamnist_27243,train/organamnist/train27243_6.png,6,train,1004
organamnist,split_04,organamnist_24523,train/organamnist/train24523_10.png,10,train,1004
organamnist,split_04,organamnist_36908,val/organamnist/val2347_4.png,4,train,1004
organamnist,split_04,organamnist_21215,train/organamnist/train21215_4.png,4,train,1004
organamnist,split_04,organamnist_7907,train/organamnist/train7907_5.png,5,train,1004
organamnist,split_04,organamnist_48611,test/organamnist/test7559_4.png,4,train,1004
organamnist,split_04,organamnist_46861,test/organamnist/test5809_2.png,2,train,1004
organamnist,split_04,organamnist_43125,test/organamnist/test2073_6.png,6,train,1004
organamnist,split_04,organamnist_562,train/organamnist/train562_4.png,4,train,1004
organamnist,split_04,organamnist_21508,train/organamnist/train21508_7.png,7,train,1004
organamnist,split_04,organamnist_34942,val/organamnist/val381_7.png,7,train,1004
organamnist,split_04,organamnist_26149,train/organamnist/train26149_7.png,7,train,1004
organamnist,split_04,organamnist_4690,train/organamnist/train4690_6.png,6,train,1004
organamnist,split_04,organamnist_18400,train/organamnist/train18400_4.png,4,train,1004
organamnist,split_04,organamnist_53348,test/organamnist/test12296_8.png,8,train,1004
organamnist,split_04,organamnist_217,train/organamnist/train217_8.png,8,train,1004
organamnist,split_04,organamnist_27808,train/organamnist/train27808_4.png,4,train,1004
organamnist,split_04,organamnist_22394,train/organamnist/train22394_10.png,10,train,1004
organamnist,split_04,organamnist_36229,val/organamnist/val1668_8.png,8,train,1004
organamnist,split_04,organamnist_36183,val/organamnist/val1622_6.png,6,train,1004
organamnist,split_04,organamnist_57440,test/organamnist/test16388_7.png,7,train,1004
organamnist,split_04,organamnist_48233,test/organamnist/test7181_3.png,3,train,1004
organamnist,split_04,organamnist_12476,train/organamnist/train12476_4.png,4,train,1004
organamnist,split_04,organamnist_7177,train/organamnist/train7177_8.png,8,train,1004
organamnist,split_04,organamnist_27584,train/organamnist/train27584_9.png,9,train,1004
organamnist,split_04,organamnist_23390,train/organamnist/train23390_4.png,4,train,1004
organamnist,split_04,organamnist_39787,val/organamnist/val5226_6.png,6,train,1004
organamnist,split_04,organamnist_45724,test/organamnist/test4672_10.png,10,train,1004
organamnist,split_04,organamnist_48106,test/organamnist/test7054_8.png,8,train,1004
organamnist,split_04,organamnist_17425,train/organamnist/train17425_10.png,10,train,1004
organamnist,split_04,organamnist_36934,val/organamnist/val2373_0.png,0,train,1004
organamnist,split_04,organamnist_24079,train/organamnist/train24079_8.png,8,train,1004
organamnist,split_04,organamnist_55858,test/organamnist/test14806_10.png,10,train,1004
organamnist,split_04,organamnist_2577,train/organamnist/train2577_6.png,6,train,1004
organamnist,split_04,organamnist_564,train/organamnist/train564_4.png,4,train,1004
organamnist,split_04,organamnist_10722,train/organamnist/train10722_8.png,8,train,1004
organamnist,split_04,organamnist_940,train/organamnist/train940_7.png,7,train,1004
organamnist,split_04,organamnist_19988,train/organamnist/train19988_8.png,8,train,1004
organamnist,split_04,organamnist_58767,test/organamnist/test17715_6.png,6,train,1004
organamnist,split_04,organamnist_33172,train/organamnist/train33172_10.png,10,train,1004
organamnist,split_04,organamnist_4754,train/organamnist/train4754_10.png,10,train,1004
organamnist,split_04,organamnist_23106,train/organamnist/train23106_9.png,9,train,1004
organamnist,split_04,organamnist_47726,test/organamnist/test6674_6.png,6,train,1004
organamnist,split_04,organamnist_30748,train/organamnist/train30748_7.png,7,train,1004
organamnist,split_04,organamnist_37098,val/organamnist/val2537_4.png,4,train,1004
organamnist,split_04,organamnist_54861,test/organamnist/test13809_0.png,0,train,1004
organamnist,split_04,organamnist_19836,train/organamnist/train19836_8.png,8,train,1004
organamnist,split_04,organamnist_24365,train/organamnist/train24365_6.png,6,train,1004
organamnist,split_04,organamnist_9890,train/organamnist/train9890_7.png,7,train,1004
organamnist,split_04,organamnist_33603,train/organamnist/train33603_8.png,8,train,1004
organamnist,split_04,organamnist_53367,test/organamnist/test12315_5.png,5,train,1004
organamnist,split_04,organamnist_34832,val/organamnist/val271_3.png,3,train,1004
organamnist,split_04,organamnist_5222,train/organamnist/train5222_6.png,6,train,1004
organamnist,split_04,organamnist_682,train/organamnist/train682_8.png,8,train,1004
organamnist,split_04,organamnist_27577,train/organamnist/train27577_4.png,4,train,1004
organamnist,split_04,organamnist_45624,test/organamnist/test4572_9.png,9,train,1004
organamnist,split_04,organamnist_47895,test/organamnist/test6843_8.png,8,train,1004
organamnist,split_04,organamnist_28808,train/organamnist/train28808_10.png,10,train,1004
organamnist,split_04,organamnist_48653,test/organamnist/test7601_4.png,4,train,1004
organamnist,split_04,organamnist_39691,val/organamnist/val5130_7.png,7,train,1004
organamnist,split_04,organamnist_34317,train/organamnist/train34317_8.png,8,train,1004
organamnist,split_04,organamnist_5817,train/organamnist/train5817_10.png,10,train,1004
organamnist,split_04,organamnist_34741,val/organamnist/val180_5.png,5,train,1004
organamnist,split_04,organamnist_23737,train/organamnist/train23737_6.png,6,train,1004
organamnist,split_04,organamnist_24651,train/organamnist/train24651_0.png,0,train,1004
