dataset,split_id,sample_id,relative_path,label,subset,split_seed
sipakmed,split_03,sipakmed_21,im_Dyskeratotic/CROPPED/003_07.bmp,3,train,1003
sipakmed,split_03,sipakmed_2072,im_Metaplastic/CROPPED/143_03.bmp,4,train,1003
sipakmed,split_03,sipakmed_1519,im_Koilocytotic/CROPPED/160_05.bmp,2,train,1003
sipakmed,split_03,sipakmed_2435,im_Parabasal/CROPPED/001_05.bmp,0,train,1003
sipakmed,split_03,sipakmed_2046,im_Metaplastic/CROPPED/138_01.bmp,4,train,1003
sipakmed,split_03,sipakmed_3830,im_Superficial-Intermediate/CROPPED/096_07.bmp,1,train,1003
sipakmed,split_03,sipakmed_1538,im_Koilocytotic/CROPPED/168_01.bmp,2,train,1003
sipakmed,split_03,sipakmed_3438,im_Superficial-Intermediate/CROPPED/029_04.bmp,1,train,1003
sipakmed,split_03,sipakmed_2052,im_Metaplastic/CROPPED/139_02.bmp,4,train,1003
sipakmed,split_03,sipakmed_151,im_Dyskeratotic/CROPPED/028_02.bmp,3,train,1003
sipakmed,split_03,sipakmed_2727,im_Parabasal/CROPPED/043_01.bmp,0,train,1003
sipakmed,split_03,sipakmed_3500,im_Superficial-Intermediate/CROPPED/041_03.bmp,1,train,1003
sipakmed,split_03,sipakmed_2370,im_Metaplastic/CROPPED/255_02.bmp,4,train,1003
sipakmed,split_03,sipakmed_1941,im_Metaplastic/CROPPED/092_02.bmp,4,train,1003
sipakmed,split_03,sipakmed_1922,im_Metaplastic/CROPPED/086_01.bmp,4,train,1003
sipakmed,split_03,sipakmed_563,im_Dyskeratotic/CROPPED/138_04.bmp,3,train,1003
sipakmed,split_03,sipakmed_1964,im_Metaplastic/CROPPED/097_03.bmp,4,train,1003
sipakmed,split_03,sipakmed_3235,im_Superficial-Intermediate/CROPPED/004_04.bmp,1,train,1003
sipakmed,split_03,sipakmed_705,im_Dyskeratotic/CROPPED/189_03.bmp,3,train,1003
sipakmed,split_03,sipakmed_524,im_Dyskeratotic/CROPPED/124_01.bmp,3,train,1003
sipakmed,split_03,sipakmed_1470,im_Koilocytotic/CROPPED/147_05.bmp,2,train,1003
sipakmed,split_03,sipakmed_626,im_Dyskeratotic/CROPPED/163_05.bmp,3,train,1003
sipakmed,split_03,sipakmed_1128,im_Koilocytotic/CROPPED/095_19.bmp,2,train,1003
sipakmed,split_03,sipakmed_1962,im_Metaplastic/CROPPED/097_01.bmp,4,train,1003
sipakmed,split_03,sipakmed_2180,im_Metaplastic/CROPPED/188_03.bmp,4,train,1003
sipakmed,split_03,sipakmed_2833,im_Parabasal/CROPPED/057_01.bmp,0,train,1003
sipakmed,split_03,sipakmed_3858,im_Superficial-Intermediate/CROPPED/099_05.bmp,1,train,1003
sipakmed,split_03,sipakmed_2967,im_Parabasal/CROPPED/075_01.bmp,0,train,1003
sipakmed,split_03,sipakmed_748,im_Dyskeratotic/CROPPED/209_01.bmp,3,train,1003
sipakmed,split_03,sipakmed_3813,im_Superficial-Intermediate/CROPPED/094_07.bmp,1,train,1003
sipakmed,split_03,sipakmed_223,im_Dyskeratotic/CROPPED/049_01.bmp,3,train,1003
sipakmed,split_03,sipakmed_3302,im_Superficial-Intermediate/CROPPED/010_11.bmp,1,train,1003
sipakmed,split_03,sipakmed_3115,im_Parabasal/CROPPED/096_07.bmp,0,train,1003
sipakmed,split_03,sipakmed_924,im_Koilocytotic/CROPPED/042_03.bmp,2,train,1003
sipakmed,split_03,sipakmed_1412,im_Koilocytotic/CROPPED/135_01.bmp,2,train,1003
sipakmed,split_03,sipakmed_3436,im_Superficial-Intermediate/CROPPED/029_02.bmp,1,train,1003
sipakmed,split_03,sipakmed_1093,im_Koilocytotic/CROPPED/093_05.bmp,2,train,1003
sipakmed,split_03,sipakmed_3621,im_Superficial-Intermediate/CROPPED/060_04.bmp,1,train,1003
sipakmed,split_03,sipakmed_872,im_Koilocytotic/CROPPED/023_04.bmp,2,train,1003
sipakmed,split_03,sipakmed_421,im_Dyskeratotic/CROPPED/101_11.bmp,3,train,1003
sipakmed,split_03,sipakmed_915,im_Koilocytotic/CROPPED/038_01.bmp,2,train,1003
sipakmed,split_03,sipakmed_2485,im_Parabasal/CROPPED/006_06.bmp,0,train,1003
sipakmed,split_03,sipakmed_189,im_Dyskeratotic/CROPPED/037_08.bmp,3,train,1003
sipakmed,split_03,sipakmed_1574,im_Koilocytotic/CROPPED/194_02.bmp,2,train,1003
sipakmed,split_03,sipakmed_202,im_Dyskeratotic/CROPPED/040_03.bmp,3,train,1003
sipakmed,split_03,sipakmed_1273,im_Koilocytotic/CROPPED/114_11.bmp,2,train,1003
sipakmed,split_03,sipakmed_1395,im_Koilocytotic/CROPPED/132_02.bmp,2,train,1003
sipakmed,split_03,sipakmed_1667,im_Metaplastic/CROPPED/004_01.bmp,4,train,1003
sipakmed,split_03,sipakmed_3903,im_Superficial-Intermediate/CROPPED/106_02.bmp,1,train,1003
sipakmed,split_03,sipakmed_2055,im_Metaplastic/CROPPED/139_05.bmp,4,train,1003
sipakmed,split_03,sipakmed_885,im_Koilocytotic/CROPPED/026_04.bmp,2,train,1003
sipakmed,split_03,sipakmed_3645,im_Superficial-Intermediate/CROPPED/063_04.bmp,1,train,1003
sipakmed,split_03,sipakmed_417,im_Dyskeratotic/CROPPED/101_07.bmp,3,train,1003
sipakmed,split_03,sipakmed_447,im_Dyskeratotic/CROPPED/104_06.bmp,3,train,1003
sipakmed,split_03,sipakmed_2916,im_Parabasal/CROPPED/069_02.bmp,0,train,1003
sipakmed,split_03,sipakmed_3146,im_Parabasal/CROPPED/099_04.bmp,0,train,1003
sipakmed,split_03,sipakmed_3382,im_Superficial-Intermediate/CROPPED/020_12.bmp,1,train,1003
sipakmed,split_03,sipakmed_126,im_Dyskeratotic/CROPPED/023_02.bmp,3,train,1003
sipakmed,split_03,sipakmed_543,im_Dyskeratotic/CROPPED/131_02.bmp,3,train,1003
sipakmed,split_03,sipakmed_2162,im_Metaplastic/CROPPED/180_01.bmp,4,train,1003
sipakmed,split_03,sipakmed_1334,im_Koilocytotic/CROPPED/122_15.bmp,2,train,1003
sipakmed,split_03,sipakmed_725,im_Dyskeratotic/CROPPED/199_02.bmp,3,train,1003
sipakmed,split_03,sipakmed_3031,im_Parabasal/CROPPED/086_05.bmp,0,train,1003
sipakmed,split_03,sipakmed_1087,im_Koilocytotic/CROPPED/092_02.bmp,2,train,1003
