dataset,split_id,split_seed,total_samples,train_count,validation_count,test_count,class_counts,train_class_counts,validation_class_counts,test_class_counts,warnings
sipakmed,split_01,1001,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_02,1002,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_03,1003,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_04,1004,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_05,1005,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_06,1006,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_07,1007,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_08,1008,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_09,1009,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_10,1010,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
