run_id,dataset,split_id,split_seed,training_seed,model,checkpoint_policy,config_hash,split_hash,output_dir,status,analysis_role
run_0001,sipakmed,split_01,1001,42,resnet18,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0001,pending,primary_analysis
run_0002,sipakmed,split_01,1001,42,resnet18,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0002,pending,primary_analysis
run_0003,sipakmed,split_01,1001,42,resnet50,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0003,pending,primary_analysis
run_0004,sipakmed,split_01,1001,42,resnet50,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0004,pending,primary_analysis
run_0005,sipakmed,split_01,1001,42,densenet121,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0005,pending,primary_analysis
run_0006,sipakmed,split_01,1001,42,densenet121,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0006,pending,primary_analysis
run_0007,sipakmed,split_01,1001,42,efficientnet_b0,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0007,pending,primary_analysis
run_0008,sipakmed,split_01,1001,42,efficientnet_b0,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0008,pending,primary_analysis
run_0009,sipakmed,split_01,1001,52,resnet18,A,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0009,pending,primary_analysis
run_0010,sipakmed,split_01,1001,52,resnet18,B,5e203de9913a10ae47f75aab7d778e21e9a142a0699f4a4a6c374b725d67c1ae,b60e4b883ce818e8035c976b18eb7a39bc4697eca98f6b8c885322c1912120da,research-lab/experiments/registered-workflow/runs/primary/run_0010,pending,primary_analysis
