dataset,split_id,split_seed,total_samples,train_count,validation_count,test_count,class_counts,train_class_counts,validation_class_counts,test_class_counts,warnings
sipakmed,split_01,1001,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_02,1002,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_03,1003,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_04,1004,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_05,1005,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_06,1006,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_07,1007,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_08,1008,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_09,1009,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
sipakmed,split_10,1010,4049,2833,608,608,"{""0"":787,""1"":831,""2"":825,""3"":813,""4"":793}","{""0"":551,""1"":581,""2"":577,""3"":569,""4"":555}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}","{""0"":118,""1"":125,""2"":124,""3"":122,""4"":119}",
organamnist,split_01,1001,58830,41180,8825,8825,"{""0"":3313,""1"":2407,""10"":5956,""2"":2375,""3"":2651,""4"":6595,""5"":6419,""6"":10482,""7"":6699,""8"":6751,""9"":5182}","{""0"":2319,""1"":1685,""10"":4169,""2"":1663,""3"":1855,""4"":4617,""5"":4493,""6"":7337,""7"":4689,""8"":4725,""9"":3628}","{""0"":497,""1"":361,""10"":893,""2"":356,""3"":398,""4"":989,""5"":963,""6"":1573,""7"":1005,""8"":1013,""9"":777}","{""0"":497,""1"":361,""10"":894,""2"":356,""3"":398,""4"":989,""5"":963,""6"":1572,""7"":1005,""8"":1013,""9"":777}",
organamnist,split_02,1002,58830,41180,8825,8825,"{""0"":3313,""1"":2407,""10"":5956,""2"":2375,""3"":2651,""4"":6595,""5"":6419,""6"":10482,""7"":6699,""8"":6751,""9"":5182}","{""0"":2319,""1"":1685,""10"":4169,""2"":1663,""3"":1855,""4"":4617,""5"":4493,""6"":7337,""7"":4689,""8"":4725,""9"":3628}","{""0"":497,""1"":361,""10"":893,""2"":356,""3"":398,""4"":989,""5"":963,""6"":1573,""7"":1005,""8"":1013,""9"":777}","{""0"":497,""1"":361,""10"":894,""2"":356,""3"":398,""4"":989,""5"":963,""6"":1572,""7"":1005,""8"":1013,""9"":777}",
organamnist,split_03,1003,58830,41180,8825,8825,"{""0"":3313,""1"":2407,""10"":5956,""2"":2375,""3"":2651,""4"":6595,""5"":6419,""6"":10482,""7"":6699,""8"":6751,""9"":5182}","{""0"":2319,""1"":1685,""10"":4169,""2"":1663,""3"":1855,""4"":4617,""5"":4493,""6"":7337,""7"":4689,""8"":4725,""9"":3628}","{""0"":497,""1"":361,""10"":893,""2"":356,""3"":398,""4"":989,""5"":963,""6"":1573,""7"":1005,""8"":1013,""9"":777}","{""0"":497,""1"":361,""10"":894,""2"":356,""3"":398,""4"":989,""5"":963,""6"":1572,""7"":1005,""8"":1013,""9"":777}",
organamnist,split_04,1004,58830,41180,8825,8825,"{""0"":3313,""1"":2407,""10"":5956,""2"":2375,""3"":2651,""4"":6595,""5"":6419,""6"":10482,""7"":6699,""8"":6751,""9"":5182}","{""0"":2319,""1"":1685,""10"":4169,""2"":1663,""3"":1855,""4"":4617,""5"":4493,""6"":7337,""7"":4689,""8"":4725,""9"":3628}","{""0"":497,""1"":361,""10"":893,""2"":356,""3"":398,""4"":989,""5"":963,""6"":1573,""7"":1005,""8"":1013,""9"":777}","{""0"":497,""1"":361,""10"":894,""2"":356,""3"":398,""4"":989,""5"":963,""6"":1572,""7"":1005,""8"":1013,""9"":777}",
